test_source_id,test_member_path,development_source_id,development_member_path,exact_sha256_match,phash64_hamming,dhash64_hamming,near_duplicate_candidate,manual_adjudication,decision
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0805,DIV2K_valid_HR/0805.png,false,38,38,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0806,DIV2K_valid_HR/0806.png,false,30,40,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0807,DIV2K_valid_HR/0807.png,false,30,36,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0808,DIV2K_valid_HR/0808.png,false,32,37,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0809,DIV2K_valid_HR/0809.png,false,32,33,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0810,DIV2K_valid_HR/0810.png,false,32,34,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0811,DIV2K_valid_HR/0811.png,false,30,35,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0812,DIV2K_valid_HR/0812.png,false,32,27,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0813,DIV2K_valid_HR/0813.png,false,32,34,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0814,DIV2K_valid_HR/0814.png,false,28,35,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0815,DIV2K_valid_HR/0815.png,false,30,31,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0816,DIV2K_valid_HR/0816.png,false,26,27,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0817,DIV2K_valid_HR/0817.png,false,30,32,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0818,DIV2K_valid_HR/0818.png,false,36,29,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0819,DIV2K_valid_HR/0819.png,false,28,30,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0820,DIV2K_valid_HR/0820.png,false,32,35,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0821,DIV2K_valid_HR/0821.png,false,32,26,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0822,DIV2K_valid_HR/0822.png,false,32,28,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0823,DIV2K_valid_HR/0823.png,false,32,36,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0824,DIV2K_valid_HR/0824.png,false,32,32,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0825,DIV2K_valid_HR/0825.png,false,34,41,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0826,DIV2K_valid_HR/0826.png,false,32,31,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0827,DIV2K_valid_HR/0827.png,false,34,32,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0828,DIV2K_valid_HR/0828.png,false,28,31,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0829,DIV2K_valid_HR/0829.png,false,32,39,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0830,DIV2K_valid_HR/0830.png,false,36,29,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0831,DIV2K_valid_HR/0831.png,false,36,37,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0832,DIV2K_valid_HR/0832.png,false,34,27,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0833,DIV2K_valid_HR/0833.png,false,26,33,false,not_required,retain
img_2400x2400_3x8bit_C00C00_RGB_almonds,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_almonds.png,0834,DIV2K_valid_HR/0834.png,false,28,23,false,not_required,retain
