source_id,stage,stage_index,observation_sha256,dtype,height,width,channels,minimum,maximum,changed_component_fraction_from_previous,measurement_delta_mse,linear_out_of_range_fraction,jpeg_bytes,jpeg_sha256
0801,linear_float,0,59b5708be31c414d2f9f6dc419fff3452584ad399cb449ff18094016f977558d,float64,576,576,3,-0.01049394553612078,1.0094212296877787,0.0,0.0,9.142714763374486e-05,0,
0801,clipped_float,1,401ae43021750fe7d2b4c4b769ae16c4a7b4afbdd2cf1fa54cc01aa0a84f9cb0,float64,576,576,3,0.0,1.0,9.142714763374486e-05,9.011685683611753e-10,9.142714763374486e-05,0,
0801,quantized_8bit,2,ee787d943a66d5cd982a213dc12fd2ac65b940fb9a3caec12c534f411de6e1d7,float64,576,576,3,0.0,1.0,0.9999085728523662,1.2812759746328564e-06,9.142714763374486e-05,0,
0801,jpeg_q75,3,d91651a84e34fc062cadb283b39ef5ce4ec61d60cd3351404f3cc1f16fb21c3f,float64,576,576,3,0.00784313725490196,1.0,0.831298828125,8.761302180952034e-05,9.142714763374486e-05,34805,715ccc923874d6bcb637bc7317421a1f7dd59ed99fe9fb394bb7915700dd3c1f
0802,linear_float,0,8d56dc865c996c093f0ba00ee0343dc5ea7193ce9e5786dd91ec47fb55d9eb0c,float64,576,576,3,-0.01963134989171287,0.926905228332161,0.0,0.0,0.0032059783307613167,0,
0802,clipped_float,1,2412277a721236b69b00140be95de3edb5245b7cfcc8fcfafab70f0f3320d4c5,float64,576,576,3,0.0,0.926905228332161,0.0032059783307613167,6.014621896276507e-08,0.0032059783307613167,0,
0802,quantized_8bit,2,4e2540975708accec0d0a3d4fddacea11eed1960a5d5b2c0c3466c23b0a727e3,float64,576,576,3,0.0,0.9254901960784314,0.9967940216692387,1.2784164573596277e-06,0.0032059783307613167,0,
0802,jpeg_q75,3,1d99b26f16302ff2d3e4693676ded77e5108f86def9eb164fac651f0091f4c13,float64,576,576,3,0.0,0.9333333333333333,0.8437580375514403,0.00010556289573120911,0.0032059783307613167,47088,61cee091a64b27ebb4fb640ae3ec22d7b4d6ca065c55d211711f8829806398e3
0803,linear_float,0,ddac9c8a7bb0a1dee8d6770eacf6c164886a58901acd953816e487b90190b44a,float64,576,576,3,-0.017290243004809913,1.0223213307854542,0.0,0.0,0.0019882892875514404,0,
0803,clipped_float,1,49487f855c44fd33b550177e0bba9343889d6687f631f4d6d5ab7cabb2b4f358,float64,576,576,3,0.0,1.0,0.0019882892875514404,4.269143899569106e-08,0.0019882892875514404,0,
0803,quantized_8bit,2,35ce589d82b71bab3646a4231745b4c7dda9c9c7e58f664b7d8c6c9d72989b59,float64,576,576,3,0.0,1.0,0.9980117107124485,1.281952836001138e-06,0.0019882892875514404,0,
0803,jpeg_q75,3,75d3923799a0917c62b5c4b160a2a9a549d8b3c67574a6f5839e6997bb432fe1,float64,576,576,3,0.0,1.0,0.8457232188786008,0.00010952844048988575,0.0019882892875514404,49727,1972002d1a39e745bbea6311c1f1037e571fed6bdca4707c6af04a2594933751
0804,linear_float,0,844bf24ed4017059f539365fa3113c6d0c690b104feae4d34dae9b0ca24af5ed,float64,576,576,3,-0.018373423295166637,0.993805033819376,0.0,0.0,0.00036972736625514403,0,
0804,clipped_float,1,22a38b87205e584833552dc706796316d807059dfc8dce19783ec109098bf12f,float64,576,576,3,0.0,0.993805033819376,0.00036972736625514403,1.451025036651039e-08,0.00036972736625514403,0,
0804,quantized_8bit,2,30fef7e319529fd808a48c0c35ef2d9ae199499953e95a94cd504e24376087fa,float64,576,576,3,0.0,0.9921568627450981,0.9996302726337448,1.2796157509886289e-06,0.00036972736625514403,0,
0804,jpeg_q75,3,33f12a49b5f0ae553f3af1407ee0d56db9815cc5883c279d51e230602628ca8f,float64,576,576,3,0.0,0.9882352941176471,0.843238610789609,0.00010353099134172154,0.00036972736625514403,46195,d8a05a1f62635ce0985467900c59b80f7895e2e6c55c914c4b191b0e36110dd1
