source_id,stage,model,role,mse,psnr_db,detail_mse,bad_detail_rate_0.025,bad_detail_rate_0.05,bad_detail_rate_0.1
0801,quantized_8bit,observed,main,0.0005529998110514886,32.572750170846504,0.00019831548499507745,0.0703125,0.0009765625,0.0
0801,quantized_8bit,gradient_nominal,main,0.0004031678301951835,33.9451412866099,0.0001533444943355442,0.0537109375,0.0009765625,0.0
0801,quantized_8bit,fbcnn,main,0.0005148273084952876,32.88338424443917,0.00015898621074346276,0.0615234375,0.0009765625,0.0
0801,quantized_8bit,fbcnn_gradient,main,0.00039048793855166365,34.083923761307396,0.00014439342278382746,0.0537109375,0.0009765625,0.0
0801,quantized_8bit,dpir_nominal,main,0.00034820392834740134,34.581663335921064,0.0001352639535078701,0.0498046875,0.0,0.0
0801,quantized_8bit,dpir_nominal_sigma08,ensemble_component,0.0004056777807094425,33.91818778294041,0.00014292772486620823,0.0537109375,0.0,0.0
0801,quantized_8bit,dpir_nominal_sigma12,ensemble_component,0.0002811551977864312,35.51053883169699,0.00012496494429086602,0.0400390625,0.0,0.0
0801,quantized_8bit,dpir_nominal_rot90,ensemble_component,0.0003487961825395208,34.57428276924945,0.00013530033248357662,0.05078125,0.0,0.0
0801,quantized_8bit,dpir_nominal_rot180,ensemble_component,0.0003486370977400659,34.57626402405073,0.00013546296439300554,0.0498046875,0.0,0.0
0801,quantized_8bit,fbcnn_dpir,main,0.000362096340443791,34.41175864393425,0.00013712293154409693,0.05078125,0.0,0.0
0801,quantized_8bit,fbcnn_dpir_sigma08,ensemble_component,0.0004191169666490875,33.77664757746621,0.0001446204409099395,0.0546875,0.0009765625,0.0
0801,quantized_8bit,fbcnn_dpir_sigma12,ensemble_component,0.00029493000668794116,35.30281039330078,0.00012694258574898293,0.0419921875,0.0,0.0
0801,quantized_8bit,fbcnn_dpir_rot90,ensemble_component,0.00036110939197871135,34.42361215999967,0.000136817333181071,0.0498046875,0.0,0.0
0801,quantized_8bit,fbcnn_dpir_rot180,ensemble_component,0.00036132011063769127,34.42107865456854,0.00013703361336824232,0.0498046875,0.0,0.0
0801,jpeg_q75,observed,main,0.0005401965469698654,32.6744819622544,0.0001663694330681154,0.064453125,0.0009765625,0.0
0801,jpeg_q75,gradient_nominal,main,0.00043308017122318994,33.634317001895525,0.0001552780874919902,0.056640625,0.0009765625,0.0
0801,jpeg_q75,fbcnn,main,0.0005310003907907148,32.7490515929859,0.0001571089237591234,0.0595703125,0.0009765625,0.0
0801,jpeg_q75,fbcnn_gradient,main,0.0004172633313867625,33.79589778902242,0.0001476006500159219,0.0556640625,0.0009765625,0.0
0801,jpeg_q75,dpir_nominal,main,0.0005587138570715257,32.52810557250773,0.0003010350581549552,0.0908203125,0.0263671875,0.0009765625
0801,jpeg_q75,dpir_nominal_sigma08,ensemble_component,0.0004735911091550733,33.24596459328073,0.00018230783981188105,0.0751953125,0.0029296875,0.0
0801,jpeg_q75,dpir_nominal_sigma12,ensemble_component,0.0004581063709255637,33.39033668410388,0.00023504759879345644,0.0791015625,0.017578125,0.0
0801,jpeg_q75,dpir_nominal_rot90,ensemble_component,0.000550513812997984,32.59231779628573,0.0002935863036771793,0.0908203125,0.0244140625,0.0
0801,jpeg_q75,dpir_nominal_rot180,ensemble_component,0.0005475776489851683,32.6155428720078,0.0002905301451915526,0.0908203125,0.0234375,0.0
0801,jpeg_q75,fbcnn_dpir,main,0.00039303600474592716,34.05567663501813,0.00014280213685197304,0.052734375,0.0,0.0
0801,jpeg_q75,fbcnn_dpir_sigma08,ensemble_component,0.00044560110710701055,33.51053738817568,0.00014910708764637377,0.0556640625,0.0009765625,0.0
0801,jpeg_q75,fbcnn_dpir_sigma12,ensemble_component,0.00033168858856984625,34.792694697117426,0.00013415538829683374,0.0439453125,0.0,0.0
0801,jpeg_q75,fbcnn_dpir_rot90,ensemble_component,0.00038974360904947975,34.09220997569015,0.00014209510790484146,0.05078125,0.0,0.0
0801,jpeg_q75,fbcnn_dpir_rot180,ensemble_component,0.0003919343666670424,34.06786653849072,0.00014250581898606732,0.0517578125,0.0,0.0
0802,quantized_8bit,observed,main,0.0006804863776852653,31.671805642965545,0.00027891518735896853,0.109375,0.0009765625,0.0
0802,quantized_8bit,gradient_nominal,main,0.0005292257287262396,32.76359050402497,0.0002300695448765614,0.078125,0.0009765625,0.0
0802,quantized_8bit,fbcnn,main,0.0006321037144030087,31.99211657639346,0.00023928687977760603,0.095703125,0.0009765625,0.0
