source_id,stage,rotation_degrees,predicted_degradation,predicted_quality,output_clipped_fraction
0801,quantized_8bit,0,0.04152406007051468,95.84759399294853,0.0
0801,quantized_8bit,90,0.04193930700421333,95.80606929957867,0.0
0801,quantized_8bit,180,0.04173020273447037,95.82697972655296,0.0
0801,jpeg_q75,0,0.2524283230304718,74.75716769695282,0.0
0801,jpeg_q75,90,0.22714535892009735,77.28546410799026,0.0
0801,jpeg_q75,180,0.25290384888648987,74.70961511135101,0.0
0802,quantized_8bit,0,0.04101751744747162,95.89824825525284,0.0003265255072619766
0802,quantized_8bit,90,0.0410052128136158,95.89947871863842,1.90891842066776e-05
0802,quantized_8bit,180,0.040918830782175064,95.9081169217825,3.71736750821583e-05
0802,jpeg_q75,0,0.25398290157318115,74.60170984268188,0.00031748326728120446
0802,jpeg_q75,90,0.21898092329502106,78.1019076704979,0.00014266654034145176
0802,jpeg_q75,180,0.25340747833251953,74.65925216674805,0.00020596224931068718
0803,quantized_8bit,0,0.04082648828625679,95.91735117137432,5.5258165957638994e-05
0803,quantized_8bit,90,0.04112664982676506,95.8873350173235,5.0234695663675666e-05
0803,quantized_8bit,180,0.0407557487487793,95.92442512512207,4.4206532038515434e-05
0803,jpeg_q75,0,0.25120076537132263,74.87992346286774,2.9136122975614853e-05
0803,jpeg_q75,90,0.22235313057899475,77.76468694210052,2.712673449423164e-05
0803,jpeg_q75,180,0.25222283601760864,74.77771639823914,1.5070408153405879e-05
0804,quantized_8bit,0,0.04098894074559212,95.90110592544079,8.037551197048742e-06
0804,quantized_8bit,90,0.04110570624470711,95.88942937552929,6.028163625160232e-06
0804,quantized_8bit,180,0.04098821058869362,95.90117894113064,1.707979572529439e-05
0804,jpeg_q75,0,0.2520921528339386,74.79078471660614,1.2056327250320464e-05
0804,jpeg_q75,90,0.2125660479068756,78.74339520931244,5.72675526200328e-05
0804,jpeg_q75,180,0.2515774667263031,74.84225332736969,2.712673449423164e-05
